"Organização";"Nome";"Descrição";"Tags";"Quantidade Recursos";"Quantidade Reusos";"Quantidade Downloads";"Quantidade Seguidores"
"Ministério da Fazenda";"Devedores da União e do FGTS";"A PGFN publica trimestralmente a base completa dos créditos inscritos em dívida ativa da União e do FGTS, atendendo às melhores práticas de transparência ativa previstas na Lei de Acesso à Informação (Lei nº 12.527/2011), na Política de Dados Abertos (Decreto nº 8.777/2016) e no Acórdão TCU-Plenário nº 2497/2019.

A publicação abrange todos os créditos ativos, inclusive os garantidos, suspensos por decisão judicial e parcelados, indicando-se a situação respectiva.

Os dados disponíveis estão em formato aberto (.CSV) e foram segmentados por sistema de origem da dívida e por Estado, a fim de facilitar pesquisa do usuário.

Os números dos CPFs dos devedores pessoa física foram parcialmente mascarados, preservando-se este dado pessoal nos termos da Lei Geral de Proteção de Dados (Lei nº 13.709/2018).

Salienta-se que os débitos inscritos em dívida ativa não estão cobertos por sigilo, conforme disposto no art. 198, §3º, II, do Código Tributário Nacional.

Para uma melhor compreensão do teor dos arquivos, acesse o dicionário de campos.";"Ativa,Devedor,Dívida,Dívida Ativa,FGTS,União";"4";"0";"810";"10"
"Ministério da Fazenda";"Subsídios e Subvenções da União - Valores Pagos - Subvenção a Itaipu";"Apura despesa paga, pelo critério valores pagos, relativo à subvenção econômica por cessão de energia elétrica a Itaipu.";"Itaipu,Subsídios,Subsídios e Subvenções da União,Subvenção a Itaipu,Subvenções";"2";"0";"8";"0"
"Ministério da Fazenda";"Relacionamento Tesouro Nacional e Banco Central";"Dados do Relacionamento entre o Tesouro Nacional e Banco Central. R$ Milhões - Valores Correntes.

Valores apurados pelo conceito de “Liberação”, que correspondem à disponibilização, por parte da STN, de limites de saque aos órgãos setoriais. Difere do conceito de “pagamento efetivo” adotado para as demais tabelas desta publicação pois este último corresponde aos valores efetivamente sacados da Conta Única por meio da emissão de OB´s. 

As séries referentes ao relacionamento Tesouro Nacional x Banco Central do Brasil estão no tema 14 das Séries Temporais do Tesouro Nacional

https://www.tesourotransparente.gov.br/visualizacao/series-temporais-do-tesouro-nacional";"BACEN,BCB,Banco Central,Tesouro Nacional,Títulos";"1";"0";"15";"0"
"Ministério da Fazenda";"Informações Patrimoniais da Matriz de Saldos Contábeis (MSC) dos Entes da Federação";"Engloba o balancete mensal das contas de natureza patrimonial, classes 1,2,3 e 4 conforme PCASP. Os dados, além das contas contábeis são detalhados por informações complementares onde: PO - codificação de poder ou órgão, FP - atributo financeiro/permanente, FR - fontes/destinação de recursos, DC - atributo dívida consolidada.";"BSPN,Contabilidade Pública,Estados e Municípios,LRF,MSC,Matriz de Saldos Contábeis,Siconfi,União";"2";"0";"22";"0"
"Ministério da Fazenda";"Estoque da Dívida de Estados e do Distrito Federal";"Este conjunto de dados abrange o estoque da dívida dos Governos estaduais e DF, segregado por administração direta e administração indireta custeada pelo Tesouro estadual.";"Ajuste Fiscal,Ajuste Fiscal de Estados,Ajuste Fiscal de Estados DF e Municípios,DF e Municípios,Estados e Municípios,Informações Estatísticas,Programa de Reestruturação";"2";"0";"7";"0"
"Ministério da Fazenda";"Dados Abertos de Custos com Pensionistas do Governo Federal";"Este conjunto de dados contém os Custos com Pensionistas do Governo Federal";"Contabilidade Aplicada ao Setor Público,Contabilidade Pública,Custos,Custos da União,Finanças Públicas,Gestão de Custos,Pensionistas";"2";"0";"33";"1"
"Ministério da Fazenda";"Gastos Sociais do Governo Central - Despesas OFSS exceto Previdência Social";"A temática gasto social é frequentemente discutida na sociedade brasileira, especialmente em momentos de retração econômica e dificuldades fiscais. Questionamentos surgem a respeito da eficácia dos programas de governo e do montante dispendido com as rubricas em geral, não apenas as consideradas de cunho social. Entretanto, a complexidade do arcabouço orçamentário brasileiro dificulta uma visão global sobre a composição do gasto público e qual o significado econômico de tais dispêndios.

Diante disso, o objetivo das séries aqui dispostas é permitir uma análise do gasto social brasileiro a partir de uma série histórica anual iniciada em 2002 e evidenciar a composição desse gasto em sete categorias: assistência social; educação e cultura; organização agrária; previdência social; saneamento básico e habitação; saúde; e trabalho e emprego.

Uma vantagem obtida a partir da construção dessas séries foi justamente a possibilidade de se criar uma base tratada de dados com mais de 190 mil registros contábeis, o que permite analisar o dispêndio governamental brasileiro (seja social ou não) em diversas dimensões e diferentes métricas. Assim, pode-se analisar o gasto brasileiro por programa; ação; órgão que executou o gasto; função; subfunção; região em que foi aplicado o recurso; subtítulo (detalhamento sobre a localização física da ação); modalidade de aplicação; e GND – Grupo de Natureza de Despesa.

Importante destacar que este trabalho representa um avanço significativo na análise do gasto social público uma vez que estabelece o entendimento da Secretaria do Tesouro Nacional sobre o conceito de gasto social e seus componentes, bem como disponibiliza a base de dados possibilitando a análise e disseminação das informações relativas ao gasto social pela sociedade como um todo.

Adotou-se como conceito de gasto social aquele destinado a atender às pessoas em situação de vulnerabilidade, bem como os dispêndios que proporcionam oportunidades de promoção social. Ainda, a abrangência aqui adotada é o gasto social executado diretamente pelo Governo Central, bem como as transferências vinculadas a gastos sociais realizadas por esta esfera de governo aos governos estaduais e municipais.

Ou seja, foram levados em consideração todos os dispêndios que transitaram pelo Orçamento Fiscal e da Seguridade Social da União. Destaca-se que na categoria Previdência Social (Regime Geral da Previdência Social - RGPS e Regime Próprio da Previdência Social – RPPS) são apresentadas duas óticas de análise que são chamadas de “visão geral” e “visão restrita”. Na visão restrita foram consideradas apenas as parcelas dos benefícios de características previdenciárias que não superam o limite de um salário mínimo por mês. Este corte se justifica porque muitos beneficiários recebem valores acima do que seria necessário para prover o acesso a bens e serviços básicos. Ainda, foram trazidas à análise os gastos tributários de caráter social implementados pelo Governo Federal brasileiro.

As fontes primárias de informação consistem primordialmente dos registros contábeis disponíveis para consulta no SIAFI – Sistema Integrado de Administração Financeira do Governo Federal, a base de dados históricos da Previdência Social - Aeps Infologo - disponibilizada pelo Ministério do Trabalho e da Previdência Social para as informações sobre gastos previdenciários, bem como as informações disponíveis no sítio da Secretaria da Receita Federal do Brasil sobre os gastos tributários implementados pelo governo brasileiro, além das informações constantes nos planos plurianuais divulgados para o período em estudo.";"Despesas OFSS,Gastos Sociais,Governo Central,Resultado Fiscal";"3";"0";"44";"0"
"Ministério da Fazenda";"Limites da LRF para a União: Contratação de Operações de Crédito";"Séries históricas quadrimestrais dos valores referentes aos limites da LRF para Contratação de Operações de Crédito.

O artigo de abertura da [Lei de Responsabilidade Fiscal](http://www.planalto.gov.br/ccivil_03/leis/LCP/Lcp101.htm), em seu parágrafo primeiro, declara:

""A responsabilidade na gestão fiscal pressupõe a ação planejada e transparente, em que se previnem riscos e corrigem desvios capazes de afetar o equilíbrio das contas públicas, mediante o cumprimento de metas de resultados entre receitas e despesas e a __obediência a limites__ e condições no que tange a renúncia de receita, geração de despesas com pessoal, da seguridade social e outras, dívidas consolidada e mobiliária, operações de crédito, inclusive por antecipação de receita, concessão de garantia e inscrição em Restos a Pagar.""

Este conjunto de dados demonstra o cumprimento, por parte da União (no caso das Despesas com Pessoal, apenas para o Poder Executivo), dos limites estabelecidos pela LRF, a saber:

* despesa total com pessoal;
* dívida consolidada;
* concessão de garantias e contragarantias; e
* operações de crédito.

O cumprimento desses limites são demonstrados por meio do Relatório de Gestão Fiscal, um dos _instrumentos de transparência da gestão fiscal_ criados pela LRF. Esse relatório é emitido quadrimestralmente pelos titulares dos Poderes e dos órgãos referidos no art. 20 da Lei.

Os relatórios do Poder Executivo Federal (em PDF) podem ser acessados na página:
http://www.tesouro.gov.br/web/stn/-/relatorio-de-gestao-fiscal

As saídas de dados disponibilizadas aqui representam os principais valores apurados especificamente para a verificação dos limites mencionados acima. Assim, deve-se ter em mente que as informações deste conjunto de dados seguem metodologia própria, definida de acordo com os critérios estabelecidos pela LRF, pelo [Manual de Demonstrativos Fiscais](https://www.tesouro.fazenda.gov.br/-/mdf) e eventuais recomendações e determinações do Tribunal de Contas da União, que realiza a verificação do cumprimento desses limites a cada quadrimestre. Dessa forma, podem eventualmente existir divergências entre esses valores e outros divulgados neste portal no âmbito de outros conjuntos de dados, com nomes semelhantes.

[![Séries Temporais](http://www.tesourotransparente.gov.br/home/@@nitf/cac58e75530448e19b206f4cb1b1f240/@@images/9ff08e36-7376-4f58-884d-365f90994355.jpeg)](http://www.tesourotransparente.gov.br/visualizacoes/series-temporais)";"Contabilidade Pública,Execução Orçamentária,Lei de Responsabilidade Fiscal,Lei de Responsabilidade Fiscal - União,Responsabilidade Fiscal da União";"3";"0";"2";"0"
"Ministério da Fazenda";"Limites da LRF para a União: Dívida Consolidada Líquida da União";"Séries históricas quadrimestrais dos valores referentes aos limites da LRF para  Dívida Consolidada Líquida da União. 

O artigo de abertura da Lei de Responsabilidade Fiscal, em seu parágrafo primeiro, declara: 

""A responsabilidade na gestão fiscal pressupõe a ação planejada e transparente, em que se previnem riscos e corrigem desvios capazes de afetar o equilíbrio das contas públicas, mediante o cumprimento de metas de resultados entre receitas e despesas e a obediência a limites e condições no que tange a renúncia de receita, geração de despesas com pessoal, da seguridade social e outras, dívidas consolidada e mobiliária, operações de crédito, inclusive por antecipação de receita, concessão de garantia e inscrição em Restos a Pagar."" 

Este conjunto de dados demonstra o cumprimento, por parte da União (no caso das Despesas com Pessoal, apenas para o Poder Executivo), dos limites estabelecidos pela LRF, a saber: 
• despesa total com pessoal; 
• dívida consolidada; 
• concessão de garantias e contragarantias; e 
• operações de crédito. 

O cumprimento desses limites são demonstrados por meio do Relatório de Gestão Fiscal, um dos instrumentos de transparência da gestão fiscal criados pela LRF. Esse relatório é emitido quadrimestralmente pelos titulares dos Poderes e dos órgãos referidos no art. 20 da Lei. 

Os relatórios do Poder Executivo Federal (em PDF) podem ser acessados na página: http://www.tesouro.gov.br/web/stn/-/relatorio-de-gestao-fiscal 

As saídas de dados disponibilizadas aqui representam os principais valores apurados especificamente para a verificação dos limites mencionados acima. Assim, deve-se ter em mente que as informações deste conjunto de dados seguem metodologia própria, definida de acordo com os critérios estabelecidos pela LRF, pelo Manual de Demonstrativos Fiscais e eventuais recomendações e determinações do Tribunal de Contas da União, que realiza a verificação do cumprimento desses limites a cada quadrimestre. Dessa forma, podem eventualmente existir divergências entre esses valores e outros divulgados neste portal no âmbito de outros conjuntos de dados, com nomes semelhantes.";"Contabilidade Pública,Execução Orçamentária,Lei de Responsabilidade Fiscal,Responsabilidade Fiscal da União";"2";"0";"5";"0"
"Ministério da Fazenda";"Demonstrativos das Contas Anuais dos Entes da Federação";"Contempla a consolidação das Contas Anuais dos Entes da Federação. É composto por quatro grandes demonstrativos: dois patrimoniais, o Balanço Patrimonial (BP) e a Demonstração das Variações Patrimoniais (DVP), e dois orçamentários, o Demonstrativo da Execução Orçamentária e o Demonstrativo das Despesas por Função. A estrutura dos Demonstrativos das Contas Anuais está definida conforme discriminação abaixo: Anexo I AB Balanço Patrimonial. Anexo I C Balanço Orçamentário – Receitas Orçamentárias. Anexo I D Balanço Orçamentário - Despesas por categoria econômica. Anexo I E Balanço Orçamentário – Despesas por função. Anexo I F Execução dos Restos a Pagar – Despesas por categoria econômica. Anexo I G Balanço Orçamentário – Execução dos Restos a Pagar – Despesas por função. Anexo I HI Demonstrativo das Variações Patrimoniais.";"BSPN,Consolidação de Contas,Contabilidade Pública,LRF";"2";"0";"35";"0"
